,model_number,epochs,hidden_neurons,hidden_layers,activation,regularization,random_state_trainsplit,acc_train,mse_train,mae_train,rmse_train,ia_train,acc_test,mse_test,mae_test,rmse_test,ia_test
model1,model1209,200,100,3,relu,0.05,0,0.8720357126067578,84.13767078139259,6.142833408625672,9.172658871962511,0.965,0.7702782799800847,154.23232848890623,8.025615331927682,12.419030899748428,0.934
model2,model1209,200,100,3,relu,0.05,2,0.8608201262861888,89.54381165418755,6.302811260847061,9.462759198784864,0.962,0.7787189891666119,161.08846045932455,8.000406673229774,12.692062892190716,0.937
model3,model1209,200,100,3,relu,0.05,4,0.8768334878105168,81.29021631988635,6.125698110496946,9.016108712736685,0.966,0.7514542059731786,164.4269074868369,7.964256617101924,12.822905578956624,0.928
model4,model1209,200,100,3,relu,0.05,6,0.8677000456059568,87.73872471819196,6.265877825632413,9.366895148243731,0.963,0.7780860552422286,143.98701142460078,7.70717517077977,11.999458797154178,0.936
model5,model1209,200,100,3,relu,0.05,8,0.8700761631812185,85.9083423551067,6.280807564459492,9.268675329037407,0.964,0.7753258891754121,147.52607638407403,7.87804672359445,12.146031301790476,0.937
model6,model1209,200,100,3,relu,0.05,10,0.8485599159098267,99.29042694949814,6.632476930823319,9.964458186449384,0.959,0.7715321487169466,155.105492861501,7.991040593986619,12.45413557263213,0.934
model7,model1209,200,100,3,relu,0.05,12,0.8662200982014596,89.61334227715537,6.351737944383695,9.46643239436882,0.964,0.7763181398943312,139.10289310808753,7.76398964138643,11.794188955078154,0.937
model8,model1209,200,100,3,relu,0.05,14,0.8714006304397207,85.66543891290237,6.2057550313167065,9.25556259299792,0.964,0.7491879002773989,159.75474442622254,8.03580842663214,12.639412344971682,0.927
model9,model1209,200,100,3,relu,0.05,16,0.8681227670580742,87.1790336165088,6.443601218785384,9.336971329960738,0.964,0.7552449870775373,160.8791739055343,7.870293055131638,12.683815431704069,0.931
model10,model1209,200,100,3,relu,0.05,18,0.8564818903397503,93.94081181341726,6.408389752634796,9.692306836528507,0.959,0.7767842031280892,152.47140790194825,7.872864565344814,12.347931320749572,0.935
model11,model1209,200,100,3,relu,0.05,20,0.8744487307957058,83.66709420598492,6.18726224618302,9.146971859909973,0.965,0.7781095739121551,141.0239329971354,7.810819066272521,11.875349805253546,0.936
model12,model1209,200,100,3,relu,0.05,22,0.8724948371771644,83.82574835000413,6.239856085073741,9.155640247956674,0.965,0.7688290115588732,155.30258874341075,8.015777467956674,12.462045929277052,0.935
model13,model1209,200,100,3,relu,0.05,24,0.8452694584072861,103.18032045311814,6.7229851548871205,10.157771431427179,0.956,0.7650911282184608,148.96553036850813,7.829061233703928,12.205143602944954,0.931
model14,model1209,200,100,3,relu,0.05,26,0.8506671668742714,97.93350611076964,6.582490694724424,9.896135918163697,0.958,0.7806252396294004,148.80970847087798,7.9142213822156595,12.198758480717535,0.937
model15,model1209,200,100,3,relu,0.05,28,0.8772669807133675,79.21842350549164,5.9409539653122465,8.900473218064962,0.966,0.7592935920144936,173.21128419098943,8.263323022181543,13.160975806944919,0.929
model16,model1209,200,100,3,relu,0.05,30,0.8552168360439004,93.81147308315263,6.453470004213337,9.685632301669965,0.96,0.7596764525240443,170.525571814875,8.139379662486167,13.058544015887644,0.931
model17,model1209,200,100,3,relu,0.05,32,0.8397730677324249,103.89912356451626,6.744226489110551,10.193091953108059,0.953,0.7821537658628411,154.13833366881352,7.965496553259099,12.415246017248853,0.934
model18,model1209,200,100,3,relu,0.05,34,0.8612074051809764,91.77710643485192,6.441872942684856,9.580036870224035,0.963,0.7549761946772677,160.8450512198952,8.267556737720174,12.682470233353406,0.933
model19,model1209,200,100,3,relu,0.05,36,0.8817537240999458,79.5826774596204,6.050764085426465,8.9209123669959,0.968,0.7445387816068936,155.6087935307416,8.013817124709153,12.474325373772386,0.928
model20,model1209,200,100,3,relu,0.05,38,0.8749653341912689,83.01144297091358,6.201921738637619,9.111061572117356,0.966,0.7512813088325486,160.59925235203124,7.8277328695814905,12.67277603179474,0.926
model21,model1209,200,100,3,relu,0.05,40,0.860214796587958,91.93691081168022,6.454204800127442,9.588373731331098,0.962,0.7688915730213631,154.9602772906143,7.933753658170117,12.448304193367637,0.936
model22,model1209,200,100,3,relu,0.05,42,0.8654926588083037,89.72596287965054,6.328073434862783,9.472378945104051,0.962,0.7610755792673607,151.30623963295156,7.990678389222812,12.300660129966666,0.929
model23,model1209,200,100,3,relu,0.05,44,0.8649895050330116,88.1550775385771,6.310297793904711,9.389093541901534,0.964,0.7553736238491995,168.7323525218303,7.956802390902112,12.98970178725556,0.929
model24,model1209,200,100,3,relu,0.05,46,0.8676141066359349,88.29006587213445,6.390060824256439,9.3962793632445,0.965,0.7374132418086433,166.39143001009754,8.26716518087531,12.899280212868373,0.93
model25,model1209,200,100,3,relu,0.05,48,0.8732021197568026,83.64450490037304,6.235243599208209,9.14573697961914,0.966,0.7489464079803775,166.41921301644504,8.206299772982034,12.900357088718321,0.927
model26,model1209,200,100,3,relu,0.05,50,0.8721054583683521,83.82241268412717,6.268179958890125,9.155458081610508,0.965,0.7689908626956309,157.0624689933059,8.017306434457637,12.532456622438632,0.934
model27,model1209,200,100,3,relu,0.05,52,0.8636503223257559,90.38925462109773,6.43128166518636,9.507326365550819,0.963,0.7752714179632945,146.0328649653433,7.816468916376207,12.084405859012817,0.935
model28,model1209,200,100,3,relu,0.05,54,0.8636384387960592,89.69200350564746,6.423731458806713,9.47058622819345,0.963,0.7776081575602175,149.12481338431442,7.974745614950362,12.21166710094549,0.94
model29,model1209,200,100,3,relu,0.05,56,0.857127284323089,94.25333790836324,6.6636203526806055,9.708415828978652,0.962,0.7690331429296663,153.07567509708937,8.074334681805123,12.372375483191956,0.936
model30,model1209,200,100,3,relu,0.05,58,0.8505533037999362,98.31909109046511,6.553493615788893,9.915598372789466,0.958,0.7835532835697177,145.01843766904793,7.8941610344802875,12.042360136993409,0.936
model31,model1209,200,100,3,relu,0.05,60,0.8483669236575343,99.7403680848106,6.675405513034703,9.987009967192913,0.957,0.774242868025276,151.34914417109445,7.843578679473633,12.30240399966992,0.934
model32,model1209,200,100,3,relu,0.05,62,0.8655408005623185,87.19194192865552,6.296085486222726,9.337662551659035,0.963,0.7360622606103653,186.7074329307024,8.249643646380052,13.664092832336232,0.922
model33,model1209,200,100,3,relu,0.05,64,0.8575097118623283,94.483893928317,6.548130799484932,9.720282605373004,0.961,0.7533215580618806,160.1120313290826,8.026541795528189,12.653538292868229,0.932
model34,model1209,200,100,3,relu,0.05,66,0.8564395805985384,93.51183541525452,6.61355914230745,9.670151778294615,0.961,0.7675144285547522,161.82319766386104,7.908944674186589,12.720974713592549,0.934
model35,model1209,200,100,3,relu,0.05,68,0.8708624860120179,84.51645931278692,6.213701074643194,9.193283380424369,0.964,0.763248429296862,161.86380732247565,8.115663863284613,12.722570782765395,0.929
model36,model1209,200,100,3,relu,0.05,70,0.8564853174643425,94.34107470507585,6.5215411586719005,9.712933372832115,0.959,0.7582171761593343,162.5063400352805,7.981080896024856,12.747797458199612,0.93
model37,model1209,200,100,3,relu,0.05,72,0.8656702736845657,88.7923840876653,6.339047828420414,9.422971086003889,0.963,0.7665985843737925,153.4733831882603,8.093363159158883,12.388437479692922,0.934
model38,model1209,200,100,3,relu,0.05,74,0.8594713252305928,93.82478188455734,6.444982915688887,9.686319315640866,0.961,0.7639448977089842,148.93546586361896,7.83206418670019,12.203911908221025,0.933
model39,model1209,200,100,3,relu,0.05,76,0.8562553374321221,94.38966858841852,6.481155473942269,9.715434554790564,0.959,0.7698912244219098,155.3078751351288,7.92388226285065,12.462258027144552,0.931
model40,model1209,200,100,3,relu,0.05,78,0.8741837911231916,83.03978061518346,6.304722857874275,9.112616562501874,0.966,0.7802929383605057,145.33986225369975,7.858516202937731,12.055698331233232,0.938
model41,model1209,200,100,3,relu,0.05,80,0.8710287833450377,84.4017941484951,6.237971376401752,9.187044908374787,0.965,0.748221450874504,172.17869569512723,8.10881891478289,13.12168798955101,0.929
model42,model1209,200,100,3,relu,0.05,82,0.8783865316518835,79.211967267106,6.022597327387441,8.900110519937716,0.967,0.7836649199901649,150.61059015069668,7.997377389668769,12.272350636723866,0.939
model43,model1209,200,100,3,relu,0.05,84,0.8675274733909972,87.97869504400425,6.318272175770806,9.379695892938335,0.962,0.7683826418998823,149.3704207737976,7.845686947459027,12.221719223325236,0.931
model44,model1209,200,100,3,relu,0.05,86,0.8641109837854881,90.14431495371105,6.409033681458487,9.494435999769077,0.963,0.7790528605719119,143.19534155311095,7.829269905741747,11.966425596355453,0.939
model45,model1209,200,100,3,relu,0.05,88,0.8483910258673613,98.64961134163386,6.548538481926628,9.932251071214111,0.955,0.7860917893664114,149.48475446095347,7.73072975379869,12.226395808289272,0.935
model46,model1209,200,100,3,relu,0.05,90,0.8677454407277543,86.42409221180431,6.277942389165423,9.296455895221808,0.962,0.7526334014990818,170.11219060870525,8.045012442032828,13.042706414264842,0.926
model47,model1209,200,100,3,relu,0.05,92,0.8661656790206297,88.29758485783154,6.448261498996075,9.396679459140422,0.964,0.7561891998278165,161.53730915513057,8.248480194750146,12.709732851446192,0.931
model48,model1209,200,100,3,relu,0.05,94,0.8504783106474249,99.0329715081035,6.571912142516711,9.9515311137585,0.957,0.7354036760793103,172.57966484622457,7.921455797981813,13.136957975354285,0.92
model49,model1209,200,100,3,relu,0.05,96,0.8745392879337086,82.14489413958755,6.0957072477886385,9.063382047535432,0.965,0.7894502737233821,143.71072768055012,7.85132156466727,11.987940927471662,0.938
model50,model1209,200,100,3,relu,0.05,98,0.8785622841863369,79.87305015653037,6.1645257876741235,8.937172380374587,0.967,0.7215366394092757,186.74689534652944,8.316669453758042,13.665536774914091,0.916
model51,model1254,200,100,10,relu,1.0,0,0.835568019309193,108.11550737417733,6.704386876819426,10.397860711424121,0.948,0.7248256866300659,184.74863886489092,8.629369400426098,13.592227148811594,0.909
model52,model1254,200,100,10,relu,1.0,2,0.8738531173511966,81.15880837695026,5.813446764541941,9.00881836740814,0.964,0.7499569304730369,182.02670426587187,8.249751430933442,13.491727252871364,0.925
model53,model1254,200,100,10,relu,1.0,4,0.8911692958330601,71.82854597981793,5.636494668916405,8.475172327440777,0.97,0.7464695324685153,167.72454707238114,8.139869316117023,12.950851210340621,0.926
model54,model1254,200,100,10,relu,1.0,6,0.8664549162531685,88.56446998789522,6.239255517338642,9.410869778500562,0.962,0.7763343706966064,145.12357732611775,7.762747174022717,12.046724755140616,0.935
model55,model1254,200,100,10,relu,1.0,8,0.8856461754547508,75.61312649927027,5.700690465055174,8.69558086037214,0.968,0.7740158327149596,148.38628893256418,8.025288496445665,12.181391091848425,0.935
model56,model1254,200,100,10,relu,1.0,10,0.8725466927712733,83.56369693594881,5.928031679195919,9.141318118080608,0.965,0.7695867280031975,156.4262276473121,8.056038432793061,12.5070471194168,0.934
model57,model1254,200,100,10,relu,1.0,12,0.8683658873548674,88.17597137708917,6.128674694097905,9.390206141352232,0.962,0.7525157243589627,153.9050986260786,8.06220927067181,12.405849371408577,0.925
model58,model1254,200,100,10,relu,1.0,14,0.8881244311222555,74.52501318095739,5.689661903691119,8.632787103882348,0.968,0.7433832867643109,163.45199248284337,8.154129843751727,12.784834472250447,0.921
model59,model1254,200,100,10,relu,1.0,16,0.8947810779214558,69.55623605643632,5.496590867873209,8.340038132792698,0.972,0.7377056436316757,172.4079064561912,8.228291213647731,13.13041912720958,0.926
model60,model1254,200,100,10,relu,1.0,18,0.85775877825063,93.10501563949374,6.455345221361051,9.649094032057816,0.965,0.7447812881848648,174.33155206172637,8.733041886482383,13.203467425707778,0.934
model61,model1254,200,100,10,relu,1.0,20,0.8802332987256307,79.81227065062585,5.973596773348608,8.933771356522723,0.968,0.7765019789257667,142.04565066041673,7.835340230061431,11.918290593051369,0.939
model62,model1254,200,100,10,relu,1.0,22,0.8905333785977216,71.96666593918627,5.700000024583802,8.48331691846923,0.97,0.755040947350986,164.56552471857347,8.24890285706481,12.828309503538394,0.931
model63,model1254,200,100,10,relu,1.0,24,0.8858603957771,76.11271064448638,5.671700691921832,8.724259890929796,0.969,0.7555853077512639,154.9935682912338,8.175646506565915,12.449641291669161,0.931
model64,model1254,200,100,10,relu,1.0,26,0.8728977728408243,83.3545207684202,5.991821330079121,9.129869701612407,0.964,0.7648789190175636,159.4909982226158,8.06088513463611,12.628974551507172,0.93
model65,model1254,200,100,10,relu,1.0,28,0.8823773742311054,75.919903512087,5.693861658584983,8.71320282743877,0.968,0.7630650679303296,170.49734652665987,8.200098820878603,13.05746325005971,0.93
model66,model1254,200,100,10,relu,1.0,30,0.8519618259564306,95.92053937831011,6.784808034683192,9.793903173827589,0.963,0.7719630659514047,161.80740082258558,8.458456986393848,12.720353800998838,0.939
model67,model1254,200,100,10,relu,1.0,32,0.8883039734047542,72.4292670691883,5.6825475317977086,8.510538588666895,0.972,0.7573903606300525,171.65982094017207,8.450419474683052,13.101901424609027,0.934
model68,model1254,200,100,10,relu,1.0,34,0.8600445703246902,92.54603519874381,6.519648117527379,9.620084989164274,0.962,0.7724978533516224,149.34301743496556,8.172253128085043,12.220598080084525,0.937
model69,model1254,200,100,10,relu,1.0,36,0.8794598890504619,81.12648535969284,5.9303005407204905,9.00702422333219,0.967,0.7550128700971073,149.2287242444974,8.028153843994987,12.21592093313056,0.93
model70,model1254,200,100,10,relu,1.0,38,0.8655493930939042,89.26275617566156,6.201703564390607,9.44789691813271,0.962,0.7599143829093804,155.02482111113414,7.885169470887079,12.450896397895782,0.928
model71,model1254,200,100,10,relu,1.0,40,0.8694651424927602,85.8529462312508,6.196993756360912,9.265686495411487,0.967,0.7567953008275077,163.0709365073631,8.384786465960707,12.769923120652022,0.937
model72,model1254,200,100,10,relu,1.0,42,0.8906827490804796,72.92238112216776,5.613270492904051,8.53946023599664,0.97,0.7638715114297601,149.53562957783765,8.0674873400688,12.228476175625385,0.931
model73,model1254,200,100,10,relu,1.0,44,0.8753742280374952,81.37437458729362,5.815419943838267,9.020774611267793,0.965,0.7698655340718004,158.73647986545242,7.950578588378925,12.599066626756619,0.933
model74,model1254,200,100,10,relu,1.0,46,0.8815451997334575,78.99921851675475,5.80929350460585,8.888150455339668,0.967,0.7482291183941476,159.53781262180823,7.991419550884076,12.63082786763434,0.928
model75,model1254,200,100,10,relu,1.0,48,0.8613950828488226,91.43322940124183,6.263572212580935,9.562072442794074,0.959,0.7362907050962277,174.80846607276274,8.281490343224675,13.22151527143401,0.916
model76,model1254,200,100,10,relu,1.0,50,0.8704686217262962,84.89519964404346,6.228213552958942,9.213859107021523,0.968,0.7298937868214572,183.64446197796264,8.67611888598581,13.551548324009424,0.93
model77,model1254,200,100,10,relu,1.0,52,0.8872492133398437,74.74502131572737,5.8210161472785495,8.645520303355221,0.97,0.7403067153284345,168.75358723464467,8.222071981426586,12.990519128758661,0.927
model78,model1254,200,100,10,relu,1.0,54,0.8754290738148423,81.93669718543836,5.9971041180931355,9.051889150085653,0.968,0.7480692201075698,168.93214303665886,8.437423823869265,12.997389854761565,0.933
model79,model1254,200,100,10,relu,1.0,56,0.8504915121507914,98.63096644209138,6.360045187717079,9.931312422942467,0.954,0.7355161746480086,175.28939273606693,8.22816478739043,13.23969005438069,0.914
model80,model1254,200,100,10,relu,1.0,58,0.8638461117708724,89.57392086607322,6.223352803367618,9.464349997018983,0.961,0.7722476073685532,152.5931956812033,7.9611611438842065,12.352861841743527,0.931
model81,model1254,200,100,10,relu,1.0,60,0.8531124292636356,96.61889559794977,6.341030548752087,9.829491115919978,0.956,0.7295385658289031,181.3192178471922,8.426850426369983,13.465482458760704,0.915
model82,model1254,200,100,10,relu,1.0,62,0.8795538725252491,78.10497010416388,5.809072535378583,8.837701630184393,0.966,0.7538207954429927,174.14518829347134,8.171109865150806,13.196408158793488,0.927
model83,model1254,200,100,10,relu,1.0,64,0.8806568397093739,79.13526350002857,5.906097375416904,8.895800329370516,0.969,0.7380497204782128,170.02455111977545,8.37515829873202,13.039346268880793,0.931
model84,model1254,200,100,10,relu,1.0,66,0.8516588866784907,96.62586548625934,6.410256090296944,9.829845649157434,0.955,0.7552007876943498,170.39419295843985,8.141488129623237,13.05351266741791,0.921
model85,model1254,200,100,10,relu,1.0,68,0.8083637837588727,125.419902959468,7.732108310900617,11.199102774752449,0.957,0.7172174836757748,193.33453459475837,9.43613672265138,13.9044789400667,0.93
model86,model1254,200,100,10,relu,1.0,70,0.8726510734744719,83.71432371019608,6.080277478182624,9.149553197298548,0.966,0.7521684570403495,166.57178682886826,8.247911950061807,12.906269283912692,0.933
model87,model1254,200,100,10,relu,1.0,72,0.8806185293964306,78.91153865594173,5.926524929258058,8.883216684058862,0.968,0.7591506055012229,158.3708107056604,8.254322543397857,12.584546503774398,0.934
model88,model1254,200,100,10,relu,1.0,74,0.8761450459526874,82.69247587995312,5.950071773659645,9.09354033806158,0.968,0.7541556846135187,155.1118246826458,8.08551155826955,12.45438977560305,0.932
model89,model1254,200,100,10,relu,1.0,76,0.8628042811811368,90.08931670730576,6.165310958609008,9.491539216971384,0.959,0.749994262148638,168.73698023788913,8.123623182348416,12.989879916222826,0.92
model90,model1254,200,100,10,relu,1.0,78,0.8786608620241031,80.0848752915432,5.849783124677215,8.949015325249096,0.966,0.7561543265541603,161.30795398798531,8.025352828357462,12.700706830251036,0.927
model91,model1254,200,100,10,relu,1.0,80,0.8556175064091995,94.4872958382554,6.565101362666242,9.720457594077319,0.964,0.7205251059552762,191.11883400428118,8.648403082103343,13.824573555964799,0.928
model92,model1254,200,100,10,relu,1.0,82,0.87589514981502,80.83470905049623,5.899923711953464,8.99081247999847,0.966,0.7777091669186982,154.75693333666834,7.949668505183568,12.44013397583275,0.938
model93,model1254,200,100,10,relu,1.0,84,0.8819044953854481,78.43051425460895,5.883358148578513,8.856100397726358,0.97,0.7421005763758304,166.31976869112958,8.326843371653077,12.896502188234203,0.931
model94,model1254,200,100,10,relu,1.0,86,0.8771167434563647,81.51672069595988,5.933089992328887,9.028661068838495,0.967,0.7639840363578847,152.96141245910567,8.080279203294255,12.36775696960066,0.935
model95,model1254,200,100,10,relu,1.0,88,0.8751806902241857,81.21799166415059,5.860449359705517,9.012102510743572,0.964,0.7552905487272794,171.00948172782915,8.16373372479461,13.07705936852124,0.925
model96,model1254,200,100,10,relu,1.0,90,0.8773167597941623,80.16954366439973,6.057527016387715,8.953744672727703,0.967,0.7798157411013851,151.41909556822668,7.845355910923758,12.305246668321065,0.935
model97,model1254,200,100,10,relu,1.0,92,0.874849686654339,82.56828541257411,6.035609266738786,9.08670927303026,0.967,0.7315860879970613,177.8381476708002,8.556249772769975,13.335597012162605,0.925
model98,model1254,200,100,10,relu,1.0,94,0.8785842808910724,80.41749329622077,5.856099952103458,8.967580124884348,0.966,0.7353946014796677,172.5855836410956,8.0720481548741,13.137183246080403,0.922
model99,model1254,200,100,10,relu,1.0,96,0.8715925579196877,84.07425370620466,6.186333395122057,9.169201366869672,0.969,0.7532654195418427,168.40870196626213,8.704880233461955,12.97723784039817,0.937
