,6c_model,6b_model,epochs,hidden_neurons,hidden_layers,activation,regularization,random_state_trainsplit,random_WeightInit,acc_train,mse_train,mae_train,rmse_train,ia_train,acc_test,mse_test,mae_test,rmse_test,ia_test
model100,model255,model788,100,100,3,relu,0.1,8,98,0.8359224279786442,108.49150221499364,6.874468374558451,10.415925413279112,0.951,0.7935210067056091,135.5787528196214,7.580597544567648,11.6438289587069,0.938
model101,model111,model732,100,75,5,relu,0.1,20,0,0.8316261409207155,112.20397546510748,7.302449117481083,10.592637795426947,0.954,0.7915951948592819,132.4530570994999,7.783625989115428,11.508825183288687,0.942
model102,model111,model732,100,75,5,relu,0.1,20,2,0.8389038126389108,107.35415077511819,6.943876828164235,10.361184815218682,0.953,0.7969316281579967,129.06145149834748,7.4299096244544325,11.360521620874081,0.939
model103,model111,model732,100,75,5,relu,0.1,20,4,0.836568254501761,108.91056166544942,6.9555727833248255,10.436022310509374,0.952,0.7950479287078838,130.258649186067,7.428913942126226,11.41309113194436,0.939
model104,model111,model732,100,75,5,relu,0.1,20,6,0.8278197432406608,114.7405506451192,7.26615417523413,10.71170157561903,0.954,0.7884224054355022,134.46954447573304,7.6815038434819,11.59610039951936,0.942
model105,model111,model732,100,75,5,relu,0.1,20,8,0.8436999967717158,104.15798404409385,6.830543149448636,10.20578189283378,0.956,0.7948415380008199,130.38982216976606,7.441077227673082,11.418836287895806,0.941
model106,model111,model732,100,75,5,relu,0.1,20,10,0.8369217415219595,108.67499867985009,7.153456271657833,10.42473014901825,0.956,0.7918078331042582,132.3179134516154,7.697880693601058,11.502952379785608,0.942
model107,model111,model732,100,75,5,relu,0.1,20,12,0.8167856853310818,122.09362296725439,7.464323282470585,11.049598317009284,0.953,0.7813470071814692,138.9663607958287,7.810927177778352,11.788399416198482,0.943
model108,model111,model732,100,75,5,relu,0.1,20,14,0.8354054571471736,109.68544730719009,7.152879109256414,10.473082034778018,0.955,0.7908089181888106,132.95278045597252,7.59958296583384,11.53051518606053,0.942
model109,model111,model732,100,75,5,relu,0.1,20,16,0.844502618348122,103.62311876180296,6.728961412129963,10.179544133300025,0.955,0.7937033654688636,131.1131952765546,7.449264774561752,11.450467033119418,0.939
model110,model111,model732,100,75,5,relu,0.1,20,18,0.8251767519482867,116.50183432505433,7.074189049042316,10.793601545594239,0.949,0.7877495502068844,134.89718208205227,7.476967612698043,11.614524617135746,0.936
model111,model111,model732,100,75,5,relu,0.1,20,20,0.8040286463295364,130.59488616193354,7.44772931326263,11.427811958635544,0.942,0.7832460346433824,137.75942128847677,7.670148797505901,11.73709594782614,0.935
model112,model111,model732,100,75,5,relu,0.1,20,22,0.8309384421747427,112.66225642179793,7.3831934063859475,10.614247802920277,0.955,0.7703250518173772,145.97143768070416,8.035409220206784,12.081863998601547,0.938
model113,model111,model732,100,75,5,relu,0.1,20,24,0.8277341636969269,114.79758066793833,7.093840938234807,10.714363288032487,0.948,0.7800546256793046,139.7877424371251,7.6861826324150835,11.823186644772427,0.932
model114,model111,model732,100,75,5,relu,0.1,20,26,0.8396252519723572,106.87338516392278,7.038965684866994,10.337958462091187,0.957,0.7901869679428399,133.3480650627117,7.602640033008357,11.547643268767516,0.942
model115,model111,model732,100,75,5,relu,0.1,20,28,0.8281989197386537,114.48786824708905,7.24424947979062,10.699900384914294,0.953,0.7847503090428456,136.8033697099593,7.745830250604654,11.696297264944976,0.941
model116,model111,model732,100,75,5,relu,0.1,20,30,0.8305503768376281,112.92086232299044,7.123203388433426,10.626422837577584,0.953,0.7872890541503992,135.18985340708508,7.596869303653552,11.627117158052767,0.94
model117,model111,model732,100,75,5,relu,0.1,20,32,0.8244387282073414,116.99365174953167,7.169653338551548,10.816360374429639,0.948,0.7821853365637104,138.4335549929145,7.6357626924946445,11.765778979435,0.934
model118,model111,model732,100,75,5,relu,0.1,20,34,0.8324548812258249,111.65170471850863,7.08445891452814,10.566537025842885,0.955,0.7945810531184844,130.5553750655846,7.482862136035892,11.426083102515253,0.944
model119,model111,model732,100,75,5,relu,0.1,20,36,0.8193201249965318,120.40467785668325,7.584326913329497,10.972906536405167,0.954,0.7716598946602624,145.12306945249483,8.03055201755136,12.046703675798407,0.941
model120,model111,model732,100,75,5,relu,0.1,20,38,0.8259809171294012,115.96594038792486,7.0646545018662605,10.76874832039104,0.948,0.7953573113210967,130.06201901285286,7.405149445345653,11.404473640324348,0.938
model121,model111,model732,100,75,5,relu,0.1,20,40,0.8290757439007168,113.90355452223095,7.03633412788411,10.672560823074795,0.949,0.7820140669254104,138.54240654826052,7.561188527197214,11.770403839642059,0.934
model122,model111,model732,100,75,5,relu,0.1,20,42,0.8308404968339668,112.7275269850162,7.099263529473388,10.617322025116136,0.954,0.7953846218629643,130.04466161670754,7.531735048153643,11.403712624260029,0.942
model123,model111,model732,100,75,5,relu,0.1,20,44,0.8129942074410329,124.62025563148059,7.250112927755572,11.163344285270458,0.943,0.789834215979599,133.5722589141805,7.477302968108075,11.557346534312298,0.935
model124,model111,model732,100,75,5,relu,0.1,20,46,0.8254278431557545,116.33450768755672,7.414377726363772,10.785847564635647,0.955,0.7900721775104583,133.42102088388123,7.8111973247136275,11.55080174203857,0.944
model125,model111,model732,100,75,5,relu,0.1,20,48,0.8401815095766262,106.50269629973104,7.0031632459812405,10.32001435559714,0.955,0.7917027100535778,132.38472510418177,7.532455873908919,11.505856122174558,0.94
model126,model111,model732,100,75,5,relu,0.1,20,50,0.8263065056796569,115.7489688823457,7.066063958709166,10.758669475467014,0.949,0.7871940307075378,135.25024618687058,7.506586376261957,11.629713934008462,0.937
model127,model111,model732,100,75,5,relu,0.1,20,52,0.8393260628397416,107.0727641546936,7.075283032486863,10.347597023207543,0.956,0.7905831943172836,133.0962407606612,7.625825008807713,11.536734406263378,0.943
model128,model111,model732,100,75,5,relu,0.1,20,54,0.8162245439751803,122.46756635296946,7.199561773151505,11.06650651077247,0.944,0.7730746855020574,144.22388974295984,7.623284338942615,12.009325116048771,0.928
model129,model111,model732,100,75,5,relu,0.1,20,56,0.8208841482253062,119.36241616031373,7.131082816082916,10.925310803831337,0.947,0.7924394253256778,131.91650082338538,7.4606312231886625,11.48549088299605,0.937
model130,model111,model732,100,75,5,relu,0.1,20,58,0.8359797870184191,109.30271512337904,6.875675878555793,10.454793882395723,0.951,0.8022317342179643,125.69293391488634,7.36714177481501,11.211286006292335,0.941
model131,model111,model732,100,75,5,relu,0.1,20,60,0.839301871214062,107.08888540171534,6.880409938798472,10.348375978950289,0.953,0.7914260835720008,132.5605369005308,7.392900264662322,11.513493687866024,0.938
model132,model111,model732,100,75,5,relu,0.1,20,62,0.8357366159415531,109.46476380297636,6.9258473505013125,10.462540982140828,0.952,0.7992980503629363,127.55745615994456,7.454052829414773,11.294133705598874,0.94
model133,model111,model732,100,75,5,relu,0.1,20,64,0.8376886450778952,108.16393580913572,7.012080644365952,10.40018921987171,0.954,0.7983460346773912,128.1625160474649,7.491761123457512,11.320888483129975,0.943
model134,model111,model732,100,75,5,relu,0.1,20,66,0.8417519913489573,105.45613064390642,6.916102809545739,10.269183543198865,0.954,0.8003990725957794,126.8576941723258,7.46060800094341,11.263112099785111,0.941
model135,model111,model732,100,75,5,relu,0.1,20,68,0.8375601341484344,108.24957521453435,7.001575711049151,10.40430560943566,0.956,0.7873701581067645,135.1383072493264,7.521230798720273,11.624900311371551,0.942
model136,model111,model732,100,75,5,relu,0.1,20,70,0.8292252358235339,113.80393342824573,7.183784086261312,10.66789264232846,0.953,0.7903358124152067,133.25346597041136,7.568375203303046,11.543546507482498,0.941
model137,model111,model732,100,75,5,relu,0.1,20,72,0.8347969604640648,110.0909481805174,7.101561908033985,10.492423370247572,0.954,0.7944000094400098,130.67043857703436,7.488908763194469,11.431117118507462,0.942
model138,model111,model732,100,75,5,relu,0.1,20,74,0.8298660131254807,113.376920820354,7.0552851144030155,10.647859917389692,0.95,0.7915421090033523,132.4867961675692,7.427426746280339,11.510290881101536,0.937
model139,model111,model732,100,75,5,relu,0.1,20,76,0.83482707823005,110.07087776641545,7.009396679883827,10.491466902507744,0.953,0.7907020867838582,133.020677864435,7.518502331676321,11.53345905894823,0.939
model140,model111,model732,100,75,5,relu,0.1,20,78,0.833108042267323,111.21643961336838,7.025214736730171,10.545920519962607,0.951,0.7936910017273101,131.1210531345576,7.527387539333613,11.450810151886966,0.94
model141,model111,model732,100,75,5,relu,0.1,20,80,0.8221511529857287,118.51808692874529,7.19377541929617,10.886601256992252,0.949,0.7838037237311951,137.40497828730918,7.600405371828396,11.721986959867733,0.937
model142,model111,model732,100,75,5,relu,0.1,20,82,0.8255720097811101,116.23843536028012,7.38585861011393,10.781393015760075,0.952,0.7917109734170218,132.37947326870068,7.7057878683888035,11.505627895456236,0.942
model143,model111,model732,100,75,5,relu,0.1,20,84,0.8271766689782487,115.16909394249615,7.239593918349545,10.731686444473494,0.952,0.7917818267069399,132.33444199003668,7.583549846319085,11.50367080500988,0.941
model144,model111,model732,100,75,5,relu,0.1,20,86,0.833112285734977,111.21361177570321,7.182961678367676,10.54578644652466,0.954,0.800003763075152,127.1089357618481,7.557115853945357,11.274259876455222,0.943
model145,model111,model732,100,75,5,relu,0.1,20,88,0.8195127638753011,120.27630372458664,7.1730687139651375,10.967055380756799,0.946,0.7962492049988027,129.4951700664472,7.379353718668347,11.379594459665388,0.938
model146,model111,model732,100,75,5,relu,0.1,20,90,0.8394150501622515,107.0134631954699,6.900374661817933,10.34473118043528,0.954,0.7905505982661187,133.11695739732053,7.561094527087674,11.537632226645142,0.939
model147,model111,model732,100,75,5,relu,0.1,20,92,0.8384238192504693,107.6740173308568,6.982049929235987,10.376609144169246,0.954,0.7893817417454365,133.85983191679492,7.5449966452195865,11.569780979638072,0.939
model148,model111,model732,100,75,5,relu,0.1,20,94,0.8406032599543065,106.22164276037273,6.866814365835043,10.30638844408519,0.957,0.7767094552927157,141.913787678372,7.635447997904717,11.91275734993255,0.938
model149,model111,model732,100,75,5,relu,0.1,20,96,0.8227263028957051,118.13480827289786,7.42512071553706,10.868983773697423,0.951,0.7934802172288395,131.25501862154698,7.771187504981783,11.45665826589704,0.942
model150,model111,model732,100,75,5,relu,0.1,20,98,0.8342893579672146,110.42921338637566,6.997698754922654,10.508530505564309,0.952,0.796117931766066,129.5786016407795,7.437178394773228,11.383259710679516,0.94
model151,model149,model732,100,75,5,relu,0.1,96,0,0.8265079551928746,113.59321511910153,7.253458161182557,10.658011780773256,0.954,0.7855660295689046,146.36191874975864,8.013078333714772,12.098013008331518,0.942
model152,model149,model732,100,75,5,relu,0.1,96,2,0.8285234206482684,112.27359725826999,6.979406983962933,10.59592361515833,0.952,0.8010836840414688,135.77034280433222,7.668944444268037,11.652053158320735,0.944
model153,model149,model732,100,75,5,relu,0.1,96,4,0.8290928297061506,111.90077897905331,7.165735912600305,10.578316452964211,0.954,0.8026829569236114,134.67875900739804,7.746596447390397,11.605117793775213,0.945
model154,model149,model732,100,75,5,relu,0.1,96,6,0.8319615288608453,110.02250980219574,7.0503350512065905,10.48916153952239,0.954,0.8043134003897718,133.56589972656445,7.657661273424417,11.557071416520902,0.945
model155,model149,model732,100,75,5,relu,0.1,96,8,0.8278633768679228,112.70575825569314,7.0022588844972,10.616296824019813,0.951,0.799970173167748,136.53036971470863,7.649141409578724,11.684621077070005,0.942
model156,model149,model732,100,75,5,relu,0.1,96,10,0.8226602607129669,116.11247752824902,7.196909271725241,10.775549987274387,0.949,0.8060170993263269,132.40303992023416,7.664873763087706,11.506651985709578,0.944
model157,model149,model732,100,75,5,relu,0.1,96,12,0.8314691586377037,110.34488721574084,6.867684410886397,10.504517467058676,0.95,0.803926640697706,133.82988257644598,7.5260855350952065,11.568486615648824,0.941
model158,model149,model732,100,75,5,relu,0.1,96,14,0.8374425417724629,106.43383875141573,7.015972209509993,10.31667769930881,0.955,0.8074440957614609,131.42904342203292,7.663326641867061,11.464250669888239,0.945
model159,model149,model732,100,75,5,relu,0.1,96,16,0.8332435113004045,109.18313698139775,6.87293543995824,10.449073498707804,0.95,0.7947129566531851,140.1186831466124,7.651308206420577,11.83717378205678,0.938
model160,model149,model732,100,75,5,relu,0.1,96,18,0.8420170685957323,103.43868580315561,6.854462319809031,10.17048109988685,0.957,0.8012602964879955,135.6497959688809,7.71529278377255,11.646879237327092,0.944
model161,model149,model732,100,75,5,relu,0.1,96,20,0.8134772339474081,122.12502718713546,7.51009419663997,11.0510192827239,0.95,0.7869419035407973,145.42281589175894,7.994886242480435,12.059138273183493,0.943
model162,model149,model732,100,75,5,relu,0.1,96,22,0.8279214859614044,112.66771156160078,7.0749373586828295,10.614504772319846,0.954,0.7991393935971404,137.09741835801728,7.803974873572779,11.708860677197302,0.945
model163,model149,model732,100,75,5,relu,0.1,96,24,0.8280868454569537,112.55944310023824,7.125112848613347,10.609403522358749,0.952,0.8036878065252846,133.99289885445617,7.6557314796496305,11.57553017595549,0.944
model164,model149,model732,100,75,5,relu,0.1,96,26,0.8347554959282047,108.19317115746946,6.8451334268577915,10.401594644931587,0.954,0.8068882690014004,131.80842300881844,7.571789305715902,11.480784947416202,0.945
model165,model149,model732,100,75,5,relu,0.1,96,28,0.8222794030626355,116.36184253545701,7.044952048201618,10.787114652929995,0.946,0.7991001367064983,137.12421315096447,7.5909658567854725,11.71000483138092,0.939
model166,model149,model732,100,75,5,relu,0.1,96,30,0.8128162245762438,122.55782040124438,7.334082493563292,11.070583561910563,0.947,0.8006931668413639,136.03689034154021,7.731848085684639,11.663485342792702,0.943
model167,model149,model732,100,75,5,relu,0.1,96,32,0.8363475241312337,107.15079712617957,6.951596550102479,10.351366920662196,0.952,0.8014223397514884,135.53919333014036,7.673283263972576,11.642130102783613,0.941
model168,model149,model732,100,75,5,relu,0.1,96,34,0.8365571710203777,107.01353167286112,6.823420145900434,10.34473449020617,0.954,0.799579269068351,136.79718133005056,7.6340931066073745,11.69603271755216,0.942
model169,model149,model732,100,75,5,relu,0.1,96,36,0.8048040254284691,127.80377540962574,7.801265458270765,11.3050331892315,0.947,0.7884799936772673,144.37299238137368,8.260843358090998,12.015531298339399,0.942
model170,model149,model732,100,75,5,relu,0.1,96,38,0.8320493410269463,109.96501514135943,7.015859858033808,10.486420511373717,0.953,0.8051711810078392,132.98042151677194,7.607925257045689,11.531713728530203,0.945
model171,model149,model732,100,75,5,relu,0.1,96,40,0.8172016664671725,119.6864700481928,7.501933283656228,10.9401311714345,0.952,0.7912799078702654,142.4619107892266,8.07339498483491,11.935740898210994,0.944
model172,model149,model732,100,75,5,relu,0.1,96,42,0.8334699396860636,109.03488391106339,7.130620220200103,10.441977011613432,0.954,0.8055574113638573,132.71679996523994,7.8027658127412165,11.520277772920233,0.946
model173,model149,model732,100,75,5,relu,0.1,96,44,0.8257797071475498,114.0700325833525,7.065298093311462,10.680357324703724,0.948,0.8082999876427268,130.84485436965207,7.486940357684656,11.438743566041337,0.943
model174,model149,model732,100,75,5,relu,0.1,96,46,0.833538005581756,108.99031804096688,6.981600581896206,10.439842816870707,0.951,0.8051104700795334,133.0218597643502,7.665750290909327,11.533510296711501,0.942
model175,model149,model732,100,75,5,relu,0.1,96,48,0.8310765829725407,110.60192454579794,6.956065397586259,10.516744959625004,0.95,0.800552759009505,136.13272571518485,7.558085244939319,11.667592970068199,0.94
model176,model149,model732,100,75,5,relu,0.1,96,50,0.8189879187479593,118.51692858700378,7.170767423300875,10.886548056523877,0.946,0.7978565045163737,137.9730543732748,7.648342993496506,11.746193186444483,0.939
model177,model149,model732,100,75,5,relu,0.1,96,52,0.8410648911211588,104.06212015613148,6.816111567141798,10.201084263750177,0.955,0.8037759874812628,133.9327109379231,7.6039523671172216,11.572930093019792,0.944
model178,model149,model732,100,75,5,relu,0.1,96,54,0.8101456209791035,124.30638731245386,7.386166749750512,11.14927743454498,0.947,0.7811916231637623,149.3476700911189,8.00502253470172,12.220788439831487,0.938
model179,model149,model732,100,75,5,relu,0.1,96,56,0.8181865740958647,119.04160575909611,7.364357252634932,10.910618944821422,0.948,0.7974541891386174,138.24765475731172,7.867980548714402,11.757876286018309,0.942
model180,model149,model732,100,75,5,relu,0.1,96,58,0.8337700768923729,108.83837028832386,7.061344132771143,10.432562977922725,0.953,0.8053972276854067,132.82613334410382,7.6989312378499015,11.525022053953034,0.945
model181,model149,model732,100,75,5,relu,0.1,96,60,0.8154113309888151,120.85868496648781,7.087598975558619,10.993574712826025,0.944,0.7970895822546495,138.49651720676238,7.720138422965657,11.768454325303829,0.938
model182,model149,model732,100,75,5,relu,0.1,96,62,0.8312264026190852,110.5038307377624,7.012987615612286,10.512080228849207,0.951,0.8006986504466531,136.0331475064373,7.7598694783092705,11.663324890717796,0.941
model183,model149,model732,100,75,5,relu,0.1,96,64,0.820105117237133,117.78544739169871,7.0739810858789225,10.85290041379256,0.946,0.7965594704273871,138.85834506469965,7.700037905476869,11.783817083810307,0.938
model184,model149,model732,100,75,5,relu,0.1,96,66,0.8345415833466403,108.33322955565913,6.8673100235194005,10.408325012011257,0.952,0.8038435556597845,133.88659227381874,7.606524535848149,11.57093739823264,0.942
model185,model149,model732,100,75,5,relu,0.1,96,68,0.8257161128101881,114.11167071870513,6.965621738992874,10.682306432540921,0.947,0.8041274669029082,133.69280863862946,7.53307439302709,11.562560643673592,0.94
model186,model149,model732,100,75,5,relu,0.1,96,70,0.8246535145194459,114.80740265476972,7.0735346107913735,10.714821634295632,0.948,0.7992170521200767,137.04441252875725,7.663576773352416,11.706596966187794,0.94
model187,model149,model732,100,75,5,relu,0.1,96,72,0.8430270882388013,102.77737952414313,6.8263589538081755,10.137917908729737,0.957,0.8084446880417095,130.74608910407218,7.640474382555501,11.434425613211719,0.946
model188,model149,model732,100,75,5,relu,0.1,96,74,0.8171056913704873,119.74930935483637,7.105303889673569,10.943002757691161,0.945,0.8042960584023182,133.5777365010902,7.558180648397692,11.557583506126624,0.941
model189,model149,model732,100,75,5,relu,0.1,96,76,0.8358277673610339,107.49110577072021,6.884108593032875,10.367791749968756,0.952,0.8005766389766965,136.11642644221607,7.659160270337256,11.666894464347232,0.941
model190,model149,model732,100,75,5,relu,0.1,96,78,0.8224207908879841,116.26926942826985,7.126388182439095,10.782822887735374,0.948,0.7992938514377068,136.99199315012785,7.703764193829048,11.70435787004686,0.942
model191,model149,model732,100,75,5,relu,0.1,96,80,0.82480292661274,114.70957569057762,7.107315355670618,10.71025563142998,0.949,0.8008578198409617,135.92450642727238,7.596796995163657,11.658666580157114,0.941
model192,model149,model732,100,75,5,relu,0.1,96,82,0.8080892321293522,125.65279960033722,7.255448767742102,11.20949595656902,0.942,0.7930686534004664,141.24100242555195,7.723056314586618,11.88448578717447,0.937
model193,model149,model732,100,75,5,relu,0.1,96,84,0.8333173457195858,109.13479419386202,6.959459149457614,10.446759985462576,0.952,0.8056066530632044,132.68319004054163,7.591565778455265,11.518818951634826,0.943
model194,model149,model732,100,75,5,relu,0.1,96,86,0.8353967066803194,107.77334100916147,6.892689691751625,10.381393981983415,0.952,0.8083140279230534,130.83527117551426,7.580035989759965,11.4383246664673,0.944
model195,model149,model732,100,75,5,relu,0.1,96,88,0.8328195257864809,109.46073978297895,6.914551244325259,10.462348674316821,0.953,0.7981893210696301,137.74589041586464,7.64281905306532,11.736519518829448,0.942
model196,model149,model732,100,75,5,relu,0.1,96,90,0.8374081663352214,106.45634593001132,6.8354826183502,10.317768456890827,0.953,0.7981925916798858,137.7436580606481,7.625686309747187,11.736424415495893,0.94
model197,model149,model732,100,75,5,relu,0.1,96,92,0.8340993311944785,108.62279236479682,6.803401201034662,10.422225883408823,0.951,0.7981094571329668,137.80040155038992,7.637491363550702,11.73884157616883,0.939
model198,model149,model732,100,75,5,relu,0.1,96,94,0.83856183867284,105.70098362985655,6.974225375870133,10.281098366899158,0.954,0.7991246071673298,137.10751083652795,7.748494466460199,11.70929164537838,0.941
model199,model149,model732,100,75,5,relu,0.1,96,96,0.8111710969003774,123.63496109775781,7.215085735231239,11.11912591428651,0.941,0.79798905244154,137.88258377939158,7.610813402974418,11.742341494752722,0.937
model200,model149,model732,100,75,5,relu,0.1,96,98,0.8194708956368157,118.20070142111605,7.551138443527842,10.872014598091564,0.953,0.7912959702794674,142.45094739090948,8.150288087404158,11.935281621767853,0.945
