,datetime,O3_simaj,RH,O3_eLichens,residuals,RH_Id
263,2021-05-11 23:00:00,0.025,58.2,0.022236905,0.002763095,C
787,2021-06-02 19:00:00,0.03,62.6,0.037474099,-0.007474098999999998,C
483,2021-05-21 03:00:00,0.027,54.2,0.030991097,-0.003991096999999999,C
828,2021-06-04 12:00:00,0.027,68.0,0.025253019,0.0017469809999999981,C
338,2021-05-15 02:00:00,0.033,60.2,0.038795349,-0.005795348999999998,C
128,2021-05-06 08:00:00,0.009,56.5,0.01984858,-0.010848580000000002,C
964,2021-06-10 04:00:00,0.026,68.2,0.019048801,0.006951198999999998,C
673,2021-05-29 01:00:00,0.025,51.5,0.034337406,-0.009337406,C
866,2021-06-06 02:00:00,0.026,70.4,0.01475966,0.011240339999999998,C
101,2021-05-05 05:00:00,0.021,58.6,0.054682304,-0.033682303999999996,C
410,2021-05-18 02:00:00,0.021,52.6,0.013368895,0.007631105000000001,C
1069,2021-06-14 13:00:00,0.02,57.7,0.029785799,-0.009785799000000001,C
485,2021-05-21 05:00:00,0.019,54.2,0.034826956,-0.015826956,C
265,2021-05-12 01:00:00,0.023,60.0,0.031195629,-0.008195629,C
770,2021-06-02 02:00:00,0.016,59.2,0.021711998,-0.005711997999999999,C
1411,2021-06-28 19:00:00,0.013,61.7,0.014854456,-0.0018544560000000009,C
674,2021-05-29 02:00:00,0.024,54.5,0.021266259,0.0027337410000000013,C
678,2021-05-29 06:00:00,0.021,58.9,0.025415,-0.004414999999999999,C
869,2021-06-06 05:00:00,0.023,73.4,0.033858486,-0.010858486,C
677,2021-05-29 05:00:00,0.024,57.9,0.023347934,0.0006520659999999998,C
647,2021-05-27 23:00:00,0.037,33.7,0.039848027,-0.002848027000000003,B
25,2021-05-02 01:00:00,0.016,38.3,0.041242526,-0.025242526,B
972,2021-06-10 12:00:00,0.054,43.0,0.076513053,-0.022513052999999998,B
1126,2021-06-16 22:00:00,0.019,40.6,0.022653946,-0.0036539460000000017,B
839,2021-06-04 23:00:00,0.02,48.3,0.025739328,-0.005739327999999998,B
604,2021-05-26 04:00:00,0.017,40.0,0.037905027,-0.020905027,B
165,2021-05-07 21:00:00,0.036,25.6,0.044422202,-0.008422202000000004,B
718,2021-05-30 22:00:00,0.04,32.3,0.046437466,-0.006437465999999996,B
1018,2021-06-12 10:00:00,0.031,47.5,0.042009158,-0.011009157999999998,B
1021,2021-06-12 13:00:00,0.042,32.5,0.082409796,-0.04040979599999999,B
956,2021-06-09 20:00:00,0.045,31.5,0.061915714,-0.016915714,B
551,2021-05-23 23:00:00,0.032,30.2,0.033529617,-0.001529616999999997,B
130,2021-05-06 10:00:00,0.034,42.4,0.051904583,-0.017904582999999995,B
334,2021-05-14 22:00:00,0.033,41.5,0.035661165,-0.002661165,B
603,2021-05-26 03:00:00,0.022,37.8,0.042170234,-0.020170234000000002,B
309,2021-05-13 21:00:00,0.039,38.0,0.040101701,-0.0011017009999999966,B
120,2021-05-06 00:00:00,0.03,35.0,0.03751199,-0.007511990000000003,B
600,2021-05-26 00:00:00,0.032,28.9,0.024767491,0.0072325090000000015,B
53,2021-05-03 05:00:00,0.028,38.3,0.043557041,-0.015557040999999997,B
178,2021-05-08 10:00:00,0.035,49.1,0.046042713,-0.011042712999999996,B
450,2021-05-19 18:00:00,0.05,8.9,0.059023912,-0.009023911999999995,A
16,2021-05-01 16:00:00,0.025,19.8,0.054751395,-0.029751395,A
164,2021-05-07 20:00:00,0.044,24.2,0.057855434,-0.013855434,A
401,2021-05-17 17:00:00,0.045,16.9,0.064766148,-0.019766147999999997,A
41,2021-05-02 17:00:00,0.045,5.6,0.060133903,-0.015133903000000004,A
430,2021-05-18 22:00:00,0.027,18.7,0.018238231,0.008761768999999999,A
710,2021-05-30 14:00:00,0.08,23.1,0.130277474,-0.050277474,A
621,2021-05-26 21:00:00,0.042,21.9,0.056774651,-0.014774651,A
21,2021-05-01 21:00:00,0.027,18.4,0.024583469,0.0024165309999999995,A
1003,2021-06-11 19:00:00,0.043,17.6,0.071900349,-0.028900349000000006,A
17,2021-05-01 17:00:00,0.025,18.6,0.051221896,-0.026221896,A
15,2021-05-01 15:00:00,0.025,20.8,0.051172602,-0.026172601999999996,A
426,2021-05-18 18:00:00,0.044,7.4,0.065788895,-0.021788895000000003,A
975,2021-06-10 15:00:00,0.064,22.2,0.101455672,-0.037455671999999995,A
544,2021-05-23 16:00:00,0.067,10.8,0.10582074,-0.03882073999999999,A
545,2021-05-23 17:00:00,0.069,11.1,0.103764881,-0.034764881,A
540,2021-05-23 12:00:00,0.069,15.2,0.110276633,-0.04127663299999999,A
112,2021-05-05 16:00:00,0.05,17.0,0.109740782,-0.05974078199999999,A
136,2021-05-06 16:00:00,0.066,24.4,0.128520884,-0.062520884,A
456,2021-05-20 00:00:00,0.029,18.5,0.016875315,0.012124685000000003,A
774,2021-06-02 06:00:00,0.02,79.0,0.020228512,-0.00022851200000000016,D
1393,2021-06-28 01:00:00,0.008,84.8,0.003422636,0.004577364,D
1292,2021-06-23 20:00:00,0.01,82.8,0.032127662,-0.022127662,D
1230,2021-06-21 06:00:00,0.013,81.8,0.026827041,-0.013827041,D
793,2021-06-03 01:00:00,0.026,90.3,0.022859116,0.003140884,D
1062,2021-06-14 06:00:00,0.006,91.6,0.004759617,0.0012403830000000003,D
988,2021-06-11 04:00:00,0.02,77.9,0.025691207,-0.005691207,D
1083,2021-06-15 03:00:00,0.011,90.7,0.029348129,-0.018348129,D
1058,2021-06-14 02:00:00,0.011,93.5,0.02813057,-0.01713057,D
1315,2021-06-24 19:00:00,0.035,87.8,0.017005536,0.017994464,D
1447,2021-06-30 07:00:00,0.004,77.8,0.029534566,-0.025534566,D
1375,2021-06-27 07:00:00,0.005,85.9,0.004979379,2.062100000000018e-05,D
1401,2021-06-28 09:00:00,0.006,78.5,0.001185332,0.004814668,D
944,2021-06-09 08:00:00,0.019,78.3,0.020025765,-0.0010257650000000014,D
1050,2021-06-13 18:00:00,0.015,86.4,0.015873852,-0.0008738520000000013,D
943,2021-06-09 07:00:00,0.019,81.5,0.022688571,-0.0036885710000000016,D
1444,2021-06-30 04:00:00,0.011,77.2,0.014545323,-0.0035453230000000013,D
871,2021-06-06 07:00:00,0.012,80.8,0.024235833,-0.012235832999999998,D
1350,2021-06-26 06:00:00,0.003,88.4,0.026352619,-0.023352619,D
1038,2021-06-13 06:00:00,0.018,87.0,0.021257389,-0.003257389000000003,D
